
11/3/2026, 7:00:54 am | DIRECTORY DELETED | File Path:D:\FSD Project\firstReactApp\test | MAC:d8:c0:a6:41:84:7d | IP:10.199.160.128 | Hostname:ceVensAbode | User:an7ki | OS:Windows 11 Home Single Language x64 | CPU:AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx  
11/3/2026, 7:01:46 am | FILE CREATED | File Path:D:\FSD Project\firstReactApp\config\Lang.jsx | MAC:d8:c0:a6:41:84:7d | IP:10.199.160.128 | Hostname:ceVensAbode | User:an7ki | OS:Windows 11 Home Single Language x64 | CPU:AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx  
15/3/2026, 3:09:50 pm | FILE CREATED | File Path:D:\FSD Project\firstReactApp\node_modules\.vite-temp\vite.config.js.timestamp-1773567590692-dddc1dfc5882a8.mjs | MAC:d8:c0:a6:41:84:7d | IP:10.200.201.128 | Hostname:ceVensAbode | User:an7ki | OS:Windows 11 Home Single Language x64 | CPU:AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx  
15/3/2026, 3:09:51 pm | FILE DELETED | File Path:D:\FSD Project\firstReactApp\node_modules\.vite-temp\vite.config.js.timestamp-1773567590692-dddc1dfc5882a8.mjs | MAC:d8:c0:a6:41:84:7d | IP:10.200.201.128 | Hostname:ceVensAbode | User:an7ki | OS:Windows 11 Home Single Language x64 | CPU:AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx  
15/3/2026, 3:56:17 pm | DIRECTORY CREATED | File Path:D:\FSD Project\firstReactApp\src\assets\fa-icons | MAC:d8:c0:a6:41:84:7d | IP:10.200.201.128 | Hostname:ceVensAbode | User:an7ki | OS:Windows 11 Home Single Language x64 | CPU:AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx  
15/3/2026, 3:56:17 pm | FILE CREATED | File Path:D:\FSD Project\firstReactApp\src\assets\fa-icons\circle-info.svg | MAC:d8:c0:a6:41:84:7d | IP:10.200.201.128 | Hostname:ceVensAbode | User:an7ki | OS:Windows 11 Home Single Language x64 | CPU:AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx  
15/3/2026, 3:56:17 pm | FILE CREATED | File Path:D:\FSD Project\firstReactApp\src\assets\fa-icons\gears.svg | MAC:d8:c0:a6:41:84:7d | IP:10.200.201.128 | Hostname:ceVensAbode | User:an7ki | OS:Windows 11 Home Single Language x64 | CPU:AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx  
15/3/2026, 3:56:17 pm | FILE CREATED | File Path:D:\FSD Project\firstReactApp\src\assets\fa-icons\globe.svg | MAC:d8:c0:a6:41:84:7d | IP:10.200.201.128 | Hostname:ceVensAbode | User:an7ki | OS:Windows 11 Home Single Language x64 | CPU:AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx  
15/3/2026, 3:56:17 pm | FILE CREATED | File Path:D:\FSD Project\firstReactApp\src\assets\fa-icons\graduation-cap.svg | MAC:d8:c0:a6:41:84:7d | IP:10.200.201.128 | Hostname:ceVensAbode | User:an7ki | OS:Windows 11 Home Single Language x64 | CPU:AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx  
15/3/2026, 3:56:17 pm | FILE CREATED | File Path:D:\FSD Project\firstReactApp\src\assets\fa-icons\house.svg | MAC:d8:c0:a6:41:84:7d | IP:10.200.201.128 | Hostname:ceVensAbode | User:an7ki | OS:Windows 11 Home Single Language x64 | CPU:AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx  
15/3/2026, 3:56:17 pm | FILE CREATED | File Path:D:\FSD Project\firstReactApp\src\assets\fa-icons\image-portrait.svg | MAC:d8:c0:a6:41:84:7d | IP:10.200.201.128 | Hostname:ceVensAbode | User:an7ki | OS:Windows 11 Home Single Language x64 | CPU:AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx  
